																															Class	Adults	Adults	Adults	Juvenile	Juvenile	Juvenile	Blank	Blank	Plantule	Plantule	Plantule	QC	QC	QC	QC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Blank	Blank	Sample	Sample	Sample	QC	QC	QC	QC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															Injection order	17	19	18	13	14	16	21	5	10	11	12	15	20	8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Average	Average	Stdev	Stdev	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	AI_pos_17	AII_III_pos_19	AIII_pos_18	JPIII_pos_13	JPIV_pos_14	JPV_pos_16	PB_pos_21	PB_pos_5	PI_pos_10	PII_pos_11	PIII_pos_12	QC_pos_15	QC_pos_20	QC_pos_8	QC_pos_9	Adults	Juvenile	Blank	Plantule	QC	Adults	Juvenile	Blank	Plantule	QC
0	2,132	100,11171	Unknown	[M+H]+	"ion correlated with 195; similar chromatogram in higher mz_642"	0,6	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	14,9	JPIII_pos_13	100.11171:20604 101.11506:3037 102.11842:3052		18385	7291	12453	81473	65893	66123	2986	2474	37369	30232	9677	50199	40982	47818	46692	12709,84652	71162,95573	2730,122437	25759,27572	46422,75391	5551,651021	8929,53763	362,4939065	14377,68409	3910,66753
1	0,884	100,11204	Unknown	[M+H]+		0,4	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10,14	AI_pos_17	100.11204:18754 101.11539:926 102.11875:1466		96137	36879	7170	3117	4477	4079	2845	1793	4857	5293	2386	41607	22381	25491	37420	46728,79085	3891,027669	2318,96228	4178,470703	31724,72998	45293,93018	699,4218434	743,4801399	1567,645541	9242,021466
2	0,449	101,00643	Unknown	[M+H]+	ion correlated with 46	0,867	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7,59	AIII_pos_18	101.00643:16579 102.00978:17635 103.01314:1749		103016	163189	177161	134175	116553	123691	1303	673	58601	84523	133730	121898	111446	148407	70053	147788,724	124806,3828	987,5394287	92284,60938	112951,0996	39398,31295	8863,824164	445,5102451	38161,46507	32556,01204
3	0,66	101,02361	Unknown	[M+H]+	"similar chromatogram in higher mz_255; similar chromatogram in higher mz_370; similar chromatogram in higher mz_570"	0,867	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	49,39	PI_pos_10	101.02361:267458 102.02696:19684 103.03032:6411		495865	233512	278370	183798	143396	131099	573	0	1525841	932439	238971	538623	533425	537919	546334	335915,8438	152764,2552	286,3643799	899083,6198	539075,2813	140324,4053	27570,20797	404,9803898	644083,3732	5359,167295
4	1,704	101,06017	Unknown	[M+H]+		0,467	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8,65	AI_pos_17	101.06017:29922 102.06352:4940 103.06688:3757		120034	55592	28243	27445	21956	20815	2734	2935	42649	34310	14434	67510	69814	63336	70519	67956,39128	23405,1556	2834,374268	30464,67155	67794,54883	47128,27013	3544,491371	142,5058398	14495,14964	3238,435522
5	0,317	102,05513	Unknown	[M+H]+	ion correlated with 580	0,333	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9,88	JPIII_pos_13	102.05513:22700 103.05848:1319 104.06184:22506		67476	54194	39373	99247	136844	136206	559	456	19155	45015	82952	42097	45901	40573	97255	53680,92448	124099,0964	507,342041	49040,71224	56456,4375	14058,56457	21524,56673	72,59100211	32088,66303	27291,27279
